Cash and cash equivalents,831819163
Deposits and placements with banks and other financial institutions,457020267
investments,1509281767
Investments in subsidiaries and associates,36236722
loan (net),2928797388
Performing loans,2765862597
Non-performing loans,222871346
Deferred loan payments,0
Accrued interest receivables,93630082
Provision for loan impairment,153566637
Derivative financial assets,368120905
Other financial assets,75291823
Other non-financial assets,24358277
fixed assets,323855302
Investment property,88923950
Held-for-sale assets,0
Intangible assets,3620737
Total assets,6611089579
Current accounts,829892169
Savings,1431382975
Deposits and placements by banks and other financial institutions,1560347100
Other deposits,1929721453
Other liabilities,135029780
Total liabilities,5886373478
Share capital,50000011
Share premium,19272456
Treasury stock,0
Revaluation reserves,125594642
Retained earnings,484229822
Other capital,45619170
Total equity attributable to equity holders of the Group,724716101
Non-controlling interests,0
Total equity,724716101
Total liabilities and equity,6611089579
Interest income,593217106
Balances with the Bank of Mongolia,9077778
Due from other banks and financial institutions,10356523
Investments in securities,201046100
Loans and advances,372736705
Other,0
Interest expense,401035582
Current accounts,20586650
Savings,139871345
Borrowings,68174618
Securities,157562129
Others,14840839
Net interest income,192181524
Provision expenses,96480217
Net interest income after provision,95701308
Other income,62764294
Non-interest income,60938971
Trading income,33744963
Gains from foreign currency exchange translation and valuation,15403941
Fees and commission income,37806586
Other non-interest income,4791364
Other income,1825323
Other expense,102275870
Non-interest expense,85986600
Other provision expense,683685
Trading expense,0
Losses from foreign currency exchange translation and valuation,0
Fees and commission expense,10350311
Other operating expense,74952604
Other expense,16289270
Profit before tax,56189732
Income tax expense,136037
Profit after tax,56053694
Other comprehensive income,21699536
Total comprehensive income for the year,77753230
