Banks,Fixed Asset,Equity,Operating Expenses,Interest Expenses,Impaired Loan,Gross Loan,Total Deposits,Investment,Operating Income,Non-interest Income
Golomt,140555000,391689000,84434000,287230000,192495000,2318058000,228481000,99784000,5490000,92268000
Khan,311130000,833865000,182887000,524260000,274653000,3344655000,3391870000,1095295000,4585000,169780000
State,82859000,191854000,74680000,178820000,69471000,1399759880,1222058000,148513100,31399000,30885000
TDB,324112734,843743948,80807326,434599362,225016992,2890248724,167988113,1418206854,5270835,621715179
Xac,37011000,199359000,63668000,208363000,109870000,1232314000,1134058000,625715000,3124000,28474000
