Banks,Fixed Asset,Equity,Operating Expenses,Interest Expenses,Impaired Loan,Gross Loan,Total Deposits,Investment,Operating Income,Non-interest Income
Golomt,171009000,366573000,91643000,246416000,170883000,2034860000,2012797000,501437000,1536000,69272000
Khan,251437000,690708000,159736000,419177000,204734000,3121639000,3018564000,1257007000,18752000,185942000
State,78914800,180556900,810100,154851900,36205400,1125719840,1045101500,336662700,33271900,33271900
TDB,323855302,724716101,74952604,401035582,222871346,2928797388,139871345,1509281767,1825323,60938971
Xac,36620000,179035000,36429000,123460000,111752000,150592000,70236000,28087000,373557000,373557000
